Sample,SiO2,TiO2,AlO1.5,FeO1.5,FeO,MnO,MgO,CaO,NaO0.5,KO0.5,PO2.5,CO2
1,60.41,0.725,15.635,1.83,5.228,0.113,3.952,5.96,3.582,2.316,0.248,0
2,62.163,0.592,15.653,1.606,4.015,0.091,2.83,5.701,3.934,3.167,0.248,0
3,59.191,0.808,15.584,2.044,5.84,0.124,4.597,6.091,3.669,1.804,0.248,0
4,51.389,1.28,14.18,2.022,10.109,0.214,7.597,9.416,2.563,1.034,0.196,0
5,50.475,0.901,15.88,2.343,7.811,0.16,7.713,9.383,3.207,1.897,0.229,0
6,51.688,1.417,14.346,2.033,10.165,0.221,7.147,8.846,2.693,1.202,0.242,0
7,51.365,1.144,13.726,2.086,10.429,0.216,7.885,10.104,2.25,0.66,0.135,0
8,50.385,1.24,14.525,2.168,10.842,0.238,7.716,10.044,2.421,0.299,0.12,0
9,50.121,1.196,14.044,2.301,11.504,0.195,6.869,10.252,2.527,0.785,0.206,0
10,49.565,1.111,13.739,2.35,11.751,0.194,7.271,10.591,2.549,0.701,0.179,0
