Sample,SiO2,TiO2,AlO1.5,FeO1.5,FeO,MnO,MgO,CaO,NaO0.5,KO0.5,PO2.5,CO2,Q,Or,Ab,An,En,Fs,Di,Mt,Ap,Il,Tn,Cor
TC-3,57.7,1.232,13.822,4.042,11.549,0.167,1.255,4.591,2.968,2.34,0.334,0,13.555,14.41,27.779,18.226,3.35,13.162,2.595,4.405,0.728,1.789,0,
AC2C,61.755,1.08,13.976,3.107,8.877,0.162,1.475,4.685,3.339,1.236,0.306,0,20.131,7.546,30.984,20.153,4.006,10.164,1.443,3.357,0.661,1.555,0,
JR12-145,60.519,1.06,13.772,3.483,9.95,0.179,1.196,4.255,2.91,2.382,0.294,0,17.72,14.621,27.147,18.166,3.277,11.696,1.418,3.783,0.639,1.534,0,
JR12-141,59.93,1.118,14.083,3.324,9.497,0.158,1.425,4.914,3.05,2.203,0.298,0,16.175,13.47,28.344,18.871,3.618,10.19,3.479,3.597,0.645,1.612,0,
AC2I,66.728,0.821,13.836,2.515,6.286,0.123,0.948,2.833,3.382,2.334,0.194,0,26.077,14.17,31.207,13.143,2.691,7.229,,2.702,0.417,1.175,0,1.189
JR13-108,61.724,0.992,13.204,3.552,10.148,0.2,1.126,3.946,2.92,1.933,0.256,0,20.76,11.899,27.319,17.938,3.182,12.459,0.575,3.869,0.558,1.44,0,
JR12-137,70.053,0.546,12.63,2.344,5.861,0.267,1.157,1.915,2.644,2.474,0.108,0,34.343,15.116,24.552,9.097,3.305,7.347,,2.534,0.234,0.787,0,2.687
JR12-146,70.094,0.527,12.67,2.424,6.059,0.11,0.628,2.284,3.182,1.935,0.086,0,33.248,11.81,29.517,11.127,1.792,7.371,,2.618,0.186,0.758,0,1.573
JR12-119,66.259,0.801,13.621,2.777,6.944,0.225,1.805,1.815,2.572,3.001,0.179,0,28.098,18.298,23.835,8.087,5.145,8.317,,2.996,0.386,1.152,0,3.685
JR13-207,58.989,1.009,13.497,3.916,11.189,0.207,1.424,5.19,2.54,1.783,0.255,0,17.84,11.016,23.851,21.088,3.744,12.872,3.28,4.281,0.558,1.47,0,
JR13-206,72.27,0.567,12.965,1.982,3.965,0.056,0.649,2.216,3.513,1.756,0.061,0,35.511,10.639,32.347,10.867,1.838,4.162,,2.125,0.131,0.81,0,1.57
JR13-101,68.199,0.865,13.27,2.18,5.451,0.093,1.866,2.594,2.694,2.644,0.143,0,29.807,16.054,24.861,12.267,5.297,6.029,,2.342,0.307,1.238,0,1.798
JS-1,63.826,0.8,15.984,1.674,4.184,0.079,2.855,4.792,3.314,2.306,0.185,0,18.25,13.745,30.022,22.128,7.79,4.272,0.513,1.766,0.39,1.124,0,
